parlay_id,size,player_id,player,team_id,market,line,confidence,hit_rate_last_5,score,risk
1,3,203497,Rudy Gobert,1610612750,rebounds,4,5,1.0,55.0,core
1,3,1628978,Donte DiVincenzo,1610612750,threes,1,5,1.0,55.0,core
1,3,1631096,Chet Holmgren,1610612760,rebounds,4,5,1.0,55.0,core
2,3,203497,Rudy Gobert,1610612750,rebounds,4,5,1.0,55.0,core
2,3,1628978,Donte DiVincenzo,1610612750,threes,1,5,1.0,55.0,core
2,3,1631096,Chet Holmgren,1610612760,rebounds,6,5,1.0,55.0,core
3,3,203497,Rudy Gobert,1610612750,rebounds,4,5,1.0,55.0,core
3,3,1628978,Donte DiVincenzo,1610612750,threes,1,5,1.0,55.0,core
3,3,1631096,Chet Holmgren,1610612760,rebounds,8,4,0.8,44.0,moderate
4,3,203497,Rudy Gobert,1610612750,rebounds,4,5,1.0,55.0,core
4,3,1628978,Donte DiVincenzo,1610612750,threes,1,5,1.0,55.0,core
4,3,1631096,Chet Holmgren,1610612760,rebounds,10,3,0.6,33.0,aggressive
5,3,203497,Rudy Gobert,1610612750,rebounds,4,5,1.0,55.0,core
5,3,1628978,Donte DiVincenzo,1610612750,threes,1,5,1.0,55.0,core
5,3,1628983,Shai Gilgeous-Alexander,1610612760,points,20,5,1.0,55.0,core
6,3,203497,Rudy Gobert,1610612750,rebounds,4,5,1.0,55.0,core
6,3,1628978,Donte DiVincenzo,1610612750,threes,1,5,1.0,55.0,core
6,3,1628983,Shai Gilgeous-Alexander,1610612760,points,25,4,0.8,44.0,moderate
7,3,203497,Rudy Gobert,1610612750,rebounds,4,5,1.0,55.0,core
7,3,1628978,Donte DiVincenzo,1610612750,threes,1,5,1.0,55.0,core
7,3,1628983,Shai Gilgeous-Alexander,1610612760,points,30,3,0.6,33.0,aggressive
8,3,203497,Rudy Gobert,1610612750,rebounds,4,5,1.0,55.0,core
8,3,1628978,Donte DiVincenzo,1610612750,threes,2,5,1.0,55.0,core
8,3,1631096,Chet Holmgren,1610612760,rebounds,4,5,1.0,55.0,core
9,3,203497,Rudy Gobert,1610612750,rebounds,4,5,1.0,55.0,core
9,3,1628978,Donte DiVincenzo,1610612750,threes,2,5,1.0,55.0,core
9,3,1631096,Chet Holmgren,1610612760,rebounds,6,5,1.0,55.0,core
