parlay_id,size,player_id,player,team_id,market,line,confidence,hit_rate_last_5,score,risk
1,5,1630552,Jalen Johnson,1610612737,rebounds,4,5,1.0,55.0,core
1,5,1630168,Onyeka Okongwu,1610612737,rebounds,4,5,1.0,55.0,core
1,5,1630700,Dyson Daniels,1610612737,rebounds,4,5,1.0,55.0,core
1,5,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
1,5,1630578,Alperen Sengun,1610612745,assists,4,5,1.0,55.0,core
2,5,1630552,Jalen Johnson,1610612737,rebounds,4,5,1.0,55.0,core
2,5,1630168,Onyeka Okongwu,1610612737,rebounds,4,5,1.0,55.0,core
2,5,1630700,Dyson Daniels,1610612737,rebounds,4,5,1.0,55.0,core
2,5,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
2,5,1630578,Alperen Sengun,1610612745,assists,6,4,0.8,44.0,moderate
3,5,1630552,Jalen Johnson,1610612737,rebounds,4,5,1.0,55.0,core
3,5,1630168,Onyeka Okongwu,1610612737,rebounds,4,5,1.0,55.0,core
3,5,1630700,Dyson Daniels,1610612737,rebounds,4,5,1.0,55.0,core
3,5,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
3,5,1641708,Amen Thompson,1610612745,assists,3,5,1.0,55.0,core
4,5,1630552,Jalen Johnson,1610612737,rebounds,4,5,1.0,55.0,core
4,5,1630168,Onyeka Okongwu,1610612737,rebounds,4,5,1.0,55.0,core
4,5,1630700,Dyson Daniels,1610612737,rebounds,4,5,1.0,55.0,core
4,5,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
4,5,1641708,Amen Thompson,1610612745,assists,4,5,1.0,55.0,core
5,5,1630552,Jalen Johnson,1610612737,rebounds,4,5,1.0,55.0,core
5,5,1630168,Onyeka Okongwu,1610612737,rebounds,4,5,1.0,55.0,core
5,5,1630700,Dyson Daniels,1610612737,rebounds,4,5,1.0,55.0,core
5,5,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
5,5,1641708,Amen Thompson,1610612745,assists,6,4,0.8,44.0,moderate
6,5,1630552,Jalen Johnson,1610612737,rebounds,4,5,1.0,55.0,core
6,5,1630168,Onyeka Okongwu,1610612737,rebounds,4,5,1.0,55.0,core
6,5,1630700,Dyson Daniels,1610612737,rebounds,4,5,1.0,55.0,core
6,5,201142,Kevin Durant,1610612745,points,18,5,1.0,55.0,core
6,5,1630578,Alperen Sengun,1610612745,assists,4,5,1.0,55.0,core
7,5,1630552,Jalen Johnson,1610612737,rebounds,4,5,1.0,55.0,core
7,5,1630168,Onyeka Okongwu,1610612737,rebounds,4,5,1.0,55.0,core
7,5,1630700,Dyson Daniels,1610612737,rebounds,4,5,1.0,55.0,core
7,5,201142,Kevin Durant,1610612745,points,18,5,1.0,55.0,core
7,5,1630578,Alperen Sengun,1610612745,assists,6,4,0.8,44.0,moderate
8,5,1630552,Jalen Johnson,1610612737,rebounds,4,5,1.0,55.0,core
8,5,1630168,Onyeka Okongwu,1610612737,rebounds,4,5,1.0,55.0,core
8,5,1630700,Dyson Daniels,1610612737,rebounds,4,5,1.0,55.0,core
8,5,201142,Kevin Durant,1610612745,points,18,5,1.0,55.0,core
8,5,1641708,Amen Thompson,1610612745,assists,3,5,1.0,55.0,core
9,5,1630552,Jalen Johnson,1610612737,rebounds,4,5,1.0,55.0,core
9,5,1630168,Onyeka Okongwu,1610612737,rebounds,4,5,1.0,55.0,core
