parlay_id,size,player_id,player,team_id,market,line,confidence,hit_rate_last_5,score,risk
1,3,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
1,3,1630578,Alperen Sengun,1610612745,assists,3,5,1.0,55.0,core
1,3,1641705,Victor Wembanyama,1610612759,rebounds,6,5,1.0,55.0,core
2,3,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
2,3,1630578,Alperen Sengun,1610612745,assists,3,5,1.0,55.0,core
2,3,1641705,Victor Wembanyama,1610612759,rebounds,8,5,1.0,55.0,core
3,3,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
3,3,1630578,Alperen Sengun,1610612745,assists,3,5,1.0,55.0,core
3,3,1641705,Victor Wembanyama,1610612759,rebounds,10,4,0.8,44.0,moderate
4,3,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
4,3,1630578,Alperen Sengun,1610612745,assists,3,5,1.0,55.0,core
4,3,1628368,De'Aaron Fox,1610612759,assists,4,5,1.0,55.0,core
5,3,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
5,3,1630578,Alperen Sengun,1610612745,assists,3,5,1.0,55.0,core
5,3,1628368,De'Aaron Fox,1610612759,assists,6,3,0.6,33.0,aggressive
6,3,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
6,3,1630578,Alperen Sengun,1610612745,assists,3,5,1.0,55.0,core
6,3,1628368,De'Aaron Fox,1610612759,threes,1,5,1.0,55.0,core
7,3,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
7,3,1630578,Alperen Sengun,1610612745,assists,3,5,1.0,55.0,core
7,3,1628368,De'Aaron Fox,1610612759,threes,2,5,1.0,55.0,core
8,3,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
8,3,1630578,Alperen Sengun,1610612745,assists,3,5,1.0,55.0,core
8,3,1642264,Stephon Castle,1610612759,assists,4,5,1.0,55.0,core
9,3,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
9,3,1630578,Alperen Sengun,1610612745,assists,3,5,1.0,55.0,core
9,3,1642264,Stephon Castle,1610612759,assists,6,4,0.8,44.0,moderate
10,3,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
10,3,1630578,Alperen Sengun,1610612745,assists,3,5,1.0,55.0,core
10,3,1642264,Stephon Castle,1610612759,assists,8,4,0.8,44.0,moderate
11,3,201142,Kevin Durant,1610612745,points,15,5,1.0,55.0,core
