parlay_id,size,player_id,player,team_id,market,line,confidence,hit_rate_last_5,score,risk
1,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
1,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
1,3,1629029,Luka Dončić,1610612747,points,20,5,1.0,55.0,core
2,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
2,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
2,3,1629029,Luka Dončić,1610612747,points,25,5,1.0,55.0,core
3,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
3,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
3,3,1629029,Luka Dončić,1610612747,points,30,4,0.8,44.0,moderate
4,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
4,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
4,3,1629029,Luka Dončić,1610612747,assists,4,5,1.0,55.0,core
5,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
5,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
5,3,1629029,Luka Dončić,1610612747,assists,6,5,1.0,55.0,core
6,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
6,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
6,3,1629029,Luka Dončić,1610612747,assists,8,4,0.8,44.0,moderate
7,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
7,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
7,3,1629029,Luka Dončić,1610612747,assists,10,3,0.6,33.0,aggressive
8,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
8,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
8,3,1629029,Luka Dončić,1610612747,threes,2,5,1.0,55.0,core
9,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
9,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
9,3,1629029,Luka Dončić,1610612747,threes,3,5,1.0,55.0,core
10,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
10,3,1642281,Jaylon Tyson,1610612739,rebounds,6,4,0.8,44.0,moderate
10,3,1629029,Luka Dončić,1610612747,points,20,5,1.0,55.0,core
11,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
11,3,1642281,Jaylon Tyson,1610612739,rebounds,6,4,0.8,44.0,moderate
11,3,1629029,Luka Dončić,1610612747,points,25,5,1.0,55.0,core
12,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
12,3,1642281,Jaylon Tyson,1610612739,rebounds,6,4,0.8,44.0,moderate
12,3,1629029,Luka Dončić,1610612747,assists,4,5,1.0,55.0,core
13,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
13,3,1642281,Jaylon Tyson,1610612739,rebounds,6,4,0.8,44.0,moderate
13,3,1629029,Luka Dončić,1610612747,assists,6,5,1.0,55.0,core
14,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
14,3,1642281,Jaylon Tyson,1610612739,rebounds,6,4,0.8,44.0,moderate
14,3,1629029,Luka Dončić,1610612747,threes,2,5,1.0,55.0,core
15,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
15,3,1642281,Jaylon Tyson,1610612739,rebounds,6,4,0.8,44.0,moderate
15,3,1629029,Luka Dončić,1610612747,threes,3,5,1.0,55.0,core
16,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
16,3,1642281,Jaylon Tyson,1610612739,assists,3,5,1.0,55.0,core
16,3,1629029,Luka Dončić,1610612747,points,20,5,1.0,55.0,core
17,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
17,3,1642281,Jaylon Tyson,1610612739,assists,3,5,1.0,55.0,core
17,3,1629029,Luka Dončić,1610612747,points,25,5,1.0,55.0,core
18,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
18,3,1642281,Jaylon Tyson,1610612739,assists,3,5,1.0,55.0,core
18,3,1629029,Luka Dončić,1610612747,points,30,4,0.8,44.0,moderate
19,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
19,3,1642281,Jaylon Tyson,1610612739,assists,3,5,1.0,55.0,core
19,3,1629029,Luka Dončić,1610612747,assists,4,5,1.0,55.0,core
20,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
20,3,1642281,Jaylon Tyson,1610612739,assists,3,5,1.0,55.0,core
20,3,1629029,Luka Dončić,1610612747,assists,6,5,1.0,55.0,core
21,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
21,3,1642281,Jaylon Tyson,1610612739,assists,3,5,1.0,55.0,core
21,3,1629029,Luka Dončić,1610612747,assists,8,4,0.8,44.0,moderate
22,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
22,3,1642281,Jaylon Tyson,1610612739,assists,3,5,1.0,55.0,core
22,3,1629029,Luka Dončić,1610612747,assists,10,3,0.6,33.0,aggressive
23,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
23,3,1642281,Jaylon Tyson,1610612739,assists,3,5,1.0,55.0,core
23,3,1629029,Luka Dončić,1610612747,threes,2,5,1.0,55.0,core
24,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
24,3,1642281,Jaylon Tyson,1610612739,assists,3,5,1.0,55.0,core
24,3,1629029,Luka Dončić,1610612747,threes,3,5,1.0,55.0,core
25,3,1630596,Evan Mobley,1610612739,rebounds,4,5,1.0,55.0,core
25,3,1642281,Jaylon Tyson,1610612739,assists,4,5,1.0,55.0,core
25,3,1629029,Luka Dončić,1610612747,points,20,5,1.0,55.0,core
