parlay_id,size,player_id,player,team_id,market,line,confidence,hit_rate_last_5,score,risk
1,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
1,3,1628404,Josh Hart,1610612752,rebounds,4,5,1.0,55.0,core
1,3,1628973,Jalen Brunson,1610612752,assists,3,5,1.0,55.0,core
2,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
2,3,1628404,Josh Hart,1610612752,rebounds,4,5,1.0,55.0,core
2,3,1628973,Jalen Brunson,1610612752,assists,4,5,1.0,55.0,core
3,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
3,3,1628404,Josh Hart,1610612752,rebounds,6,4,0.8,44.0,moderate
3,3,1628973,Jalen Brunson,1610612752,assists,3,5,1.0,55.0,core
4,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
4,3,1628404,Josh Hart,1610612752,rebounds,6,4,0.8,44.0,moderate
4,3,1628973,Jalen Brunson,1610612752,assists,4,5,1.0,55.0,core
5,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
5,3,1628404,Josh Hart,1610612752,rebounds,8,3,0.6,33.0,aggressive
5,3,1628973,Jalen Brunson,1610612752,assists,3,5,1.0,55.0,core
6,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
6,3,1628404,Josh Hart,1610612752,rebounds,8,3,0.6,33.0,aggressive
6,3,1628973,Jalen Brunson,1610612752,assists,4,5,1.0,55.0,core
7,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
7,3,1626157,Karl-Anthony Towns,1610612752,rebounds,4,5,1.0,55.0,core
7,3,1628973,Jalen Brunson,1610612752,assists,3,5,1.0,55.0,core
8,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
8,3,1626157,Karl-Anthony Towns,1610612752,rebounds,4,5,1.0,55.0,core
8,3,1628973,Jalen Brunson,1610612752,assists,4,5,1.0,55.0,core
9,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
9,3,1626157,Karl-Anthony Towns,1610612752,rebounds,6,5,1.0,55.0,core
9,3,1628973,Jalen Brunson,1610612752,assists,3,5,1.0,55.0,core
10,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
10,3,1626157,Karl-Anthony Towns,1610612752,rebounds,6,5,1.0,55.0,core
10,3,1628973,Jalen Brunson,1610612752,assists,4,5,1.0,55.0,core
11,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
11,3,1626157,Karl-Anthony Towns,1610612752,rebounds,8,4,0.8,44.0,moderate
11,3,1628973,Jalen Brunson,1610612752,assists,3,5,1.0,55.0,core
12,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
12,3,1626157,Karl-Anthony Towns,1610612752,rebounds,8,4,0.8,44.0,moderate
12,3,1628973,Jalen Brunson,1610612752,assists,4,5,1.0,55.0,core
13,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
13,3,1626157,Karl-Anthony Towns,1610612752,rebounds,10,3,0.6,33.0,aggressive
13,3,1628973,Jalen Brunson,1610612752,assists,3,5,1.0,55.0,core
14,3,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
14,3,1626157,Karl-Anthony Towns,1610612752,rebounds,10,3,0.6,33.0,aggressive
14,3,1628973,Jalen Brunson,1610612752,assists,4,5,1.0,55.0,core
15,3,1642270,Donovan Clingan,1610612757,rebounds,8,5,1.0,55.0,core
15,3,1628404,Josh Hart,1610612752,rebounds,4,5,1.0,55.0,core
15,3,1628973,Jalen Brunson,1610612752,assists,3,5,1.0,55.0,core
16,3,1642270,Donovan Clingan,1610612757,rebounds,8,5,1.0,55.0,core
