parlay_id,size,player_id,player,team_id,market,line,confidence,hit_rate_last_5,score,risk
1,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
1,3,1628378,Donovan Mitchell,1610612739,points,20,5,1.0,55.0,core
1,3,1631109,Mark Williams,1610612756,rebounds,4,5,1.0,55.0,core
2,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
2,3,1628378,Donovan Mitchell,1610612739,points,20,5,1.0,55.0,core
2,3,1631109,Mark Williams,1610612756,rebounds,6,3,0.6,33.0,aggressive
3,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
3,3,1628378,Donovan Mitchell,1610612739,points,25,4,0.8,44.0,moderate
3,3,1631109,Mark Williams,1610612756,rebounds,4,5,1.0,55.0,core
4,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
4,3,1628378,Donovan Mitchell,1610612739,points,30,3,0.6,33.0,aggressive
4,3,1631109,Mark Williams,1610612756,rebounds,4,5,1.0,55.0,core
5,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
5,3,1628378,Donovan Mitchell,1610612739,assists,3,5,1.0,55.0,core
5,3,1631109,Mark Williams,1610612756,rebounds,4,5,1.0,55.0,core
6,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
6,3,1628378,Donovan Mitchell,1610612739,assists,3,5,1.0,55.0,core
6,3,1631109,Mark Williams,1610612756,rebounds,6,3,0.6,33.0,aggressive
7,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
7,3,1628378,Donovan Mitchell,1610612739,assists,4,5,1.0,55.0,core
7,3,1631109,Mark Williams,1610612756,rebounds,4,5,1.0,55.0,core
8,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
8,3,1628378,Donovan Mitchell,1610612739,assists,4,5,1.0,55.0,core
8,3,1631109,Mark Williams,1610612756,rebounds,6,3,0.6,33.0,aggressive
9,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
9,3,1628378,Donovan Mitchell,1610612739,assists,6,3,0.6,33.0,aggressive
9,3,1631109,Mark Williams,1610612756,rebounds,4,5,1.0,55.0,core
10,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
10,3,1628378,Donovan Mitchell,1610612739,threes,1,5,1.0,55.0,core
10,3,1631109,Mark Williams,1610612756,rebounds,4,5,1.0,55.0,core
11,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
11,3,1628378,Donovan Mitchell,1610612739,threes,1,5,1.0,55.0,core
11,3,1631109,Mark Williams,1610612756,rebounds,6,3,0.6,33.0,aggressive
12,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
12,3,1628378,Donovan Mitchell,1610612739,threes,2,5,1.0,55.0,core
12,3,1631109,Mark Williams,1610612756,rebounds,4,5,1.0,55.0,core
13,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
13,3,1628378,Donovan Mitchell,1610612739,threes,2,5,1.0,55.0,core
13,3,1631109,Mark Williams,1610612756,rebounds,6,3,0.6,33.0,aggressive
14,3,1642281,Jaylon Tyson,1610612739,rebounds,4,5,1.0,55.0,core
14,3,1628378,Donovan Mitchell,1610612739,threes,3,3,0.6,33.0,aggressive
14,3,1631109,Mark Williams,1610612756,rebounds,4,5,1.0,55.0,core
15,3,1642281,Jaylon Tyson,1610612739,rebounds,6,4,0.8,44.0,moderate
15,3,1628378,Donovan Mitchell,1610612739,points,20,5,1.0,55.0,core
15,3,1631109,Mark Williams,1610612756,rebounds,4,5,1.0,55.0,core
16,3,1642281,Jaylon Tyson,1610612739,rebounds,6,4,0.8,44.0,moderate
