parlay_id,size,player_id,player,team_id,market,line,confidence,hit_rate_last_5,score,risk
1,3,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
1,3,1630573,Sam Hauser,1610612738,threes,1,5,1.0,55.0,core
1,3,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
2,3,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
2,3,1630573,Sam Hauser,1610612738,threes,1,5,1.0,55.0,core
2,3,1627734,Domantas Sabonis,1610612758,rebounds,6,5,1.0,55.0,core
3,3,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
3,3,1630573,Sam Hauser,1610612738,threes,1,5,1.0,55.0,core
3,3,1627734,Domantas Sabonis,1610612758,rebounds,8,3,0.6,33.0,aggressive
4,3,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
4,3,1630573,Sam Hauser,1610612738,threes,2,5,1.0,55.0,core
4,3,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
5,3,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
5,3,1630573,Sam Hauser,1610612738,threes,2,5,1.0,55.0,core
5,3,1627734,Domantas Sabonis,1610612758,rebounds,6,5,1.0,55.0,core
6,3,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
6,3,1630573,Sam Hauser,1610612738,threes,2,5,1.0,55.0,core
6,3,1627734,Domantas Sabonis,1610612758,rebounds,8,3,0.6,33.0,aggressive
7,3,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
7,3,1630573,Sam Hauser,1610612738,threes,3,3,0.6,33.0,aggressive
7,3,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
8,3,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
8,3,1630573,Sam Hauser,1610612738,threes,3,3,0.6,33.0,aggressive
8,3,1627734,Domantas Sabonis,1610612758,rebounds,6,5,1.0,55.0,core
9,3,1627759,Jaylen Brown,1610612738,points,18,5,1.0,55.0,core
9,3,1630573,Sam Hauser,1610612738,threes,1,5,1.0,55.0,core
9,3,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
10,3,1627759,Jaylen Brown,1610612738,points,18,5,1.0,55.0,core
10,3,1630573,Sam Hauser,1610612738,threes,1,5,1.0,55.0,core
10,3,1627734,Domantas Sabonis,1610612758,rebounds,6,5,1.0,55.0,core
11,3,1627759,Jaylen Brown,1610612738,points,18,5,1.0,55.0,core
11,3,1630573,Sam Hauser,1610612738,threes,1,5,1.0,55.0,core
11,3,1627734,Domantas Sabonis,1610612758,rebounds,8,3,0.6,33.0,aggressive
12,3,1627759,Jaylen Brown,1610612738,points,18,5,1.0,55.0,core
12,3,1630573,Sam Hauser,1610612738,threes,2,5,1.0,55.0,core
12,3,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
13,3,1627759,Jaylen Brown,1610612738,points,18,5,1.0,55.0,core
13,3,1630573,Sam Hauser,1610612738,threes,2,5,1.0,55.0,core
13,3,1627734,Domantas Sabonis,1610612758,rebounds,6,5,1.0,55.0,core
14,3,1627759,Jaylen Brown,1610612738,points,18,5,1.0,55.0,core
14,3,1630573,Sam Hauser,1610612738,threes,2,5,1.0,55.0,core
14,3,1627734,Domantas Sabonis,1610612758,rebounds,8,3,0.6,33.0,aggressive
15,3,1627759,Jaylen Brown,1610612738,points,18,5,1.0,55.0,core
15,3,1630573,Sam Hauser,1610612738,threes,3,3,0.6,33.0,aggressive
15,3,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
16,3,1627759,Jaylen Brown,1610612738,points,18,5,1.0,55.0,core
16,3,1630573,Sam Hauser,1610612738,threes,3,3,0.6,33.0,aggressive
16,3,1627734,Domantas Sabonis,1610612758,rebounds,6,5,1.0,55.0,core
17,3,1627759,Jaylen Brown,1610612738,points,20,5,1.0,55.0,core
17,3,1630573,Sam Hauser,1610612738,threes,1,5,1.0,55.0,core
17,3,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
18,3,1627759,Jaylen Brown,1610612738,points,20,5,1.0,55.0,core
18,3,1630573,Sam Hauser,1610612738,threes,1,5,1.0,55.0,core
18,3,1627734,Domantas Sabonis,1610612758,rebounds,6,5,1.0,55.0,core
19,3,1627759,Jaylen Brown,1610612738,points,20,5,1.0,55.0,core
19,3,1630573,Sam Hauser,1610612738,threes,1,5,1.0,55.0,core
19,3,1627734,Domantas Sabonis,1610612758,rebounds,8,3,0.6,33.0,aggressive
20,3,1627759,Jaylen Brown,1610612738,points,20,5,1.0,55.0,core
20,3,1630573,Sam Hauser,1610612738,threes,2,5,1.0,55.0,core
